authorDisplayName,textDisplay,likeCount,publishedAt,AI_Sentiment,AI_Focus,AI_Audience,AI_Member
@bheunsyung,드디어 셜록 커버 원본 왔다 미친,193,2026-05-21 01:57:04 UTC,1,Original/致敬前辈与原唱,Unknown,None
@mr.jungjaehyuncansteponme,Craziest song cover ever and they did it all LIVE!,235,2026-05-21 11:24:52 UTC,1,Vocal/高音与唱功,Unknown,None
@oojiwoong,"Their stage presence and energy were actually insane. The spirit from SHINee’s original performance transferred so naturally to them T_T Thank you for always working so hard to give your best performances, ZEROBASEONE 😭✨",343,2026-05-21 01:35:16 UTC,1,Visual/妆造与表情管理,Zerose,None
@HB_Allin,라이브 독기 미쳤고 제베원이 너무 잘한다,163,2026-05-21 02:26:32 UTC,1,Vocal/高音与唱功,Unknown,None
@renann2826,Jiwoongs vocal is really good..2nd gen songs really suits his tone,193,2026-05-21 02:39:59 UTC,1,Vocal/高音与唱功,Unknown,金地雄
@honey_voice_music,"언제까지 셜록에 갖혀있을까아...?
볼때마다 설레고 볼때마다 감동받고, 놀라고....
진짜 경이로운 수준이야....",138,2026-05-21 03:10:09 UTC,1,Original/致敬前辈与原唱,Unknown,None
@ting.mp4,ZB1 really turned KCON into their own concert!!!,104,2026-05-21 03:02:47 UTC,1,其他,Unknown,None
@태래쥬아,"그 어렵다는 셜록 커버를 독기 넘치는 이 갈고 나온 제베원이 말아왔다고 지금 ,,",68,2026-05-22 06:21:49 UTC,1,其他,Unknown,None
@XanaAgriche,You can really see their determination to prove themselves in this performance. 😭🩷,187,2026-05-21 01:49:15 UTC,1,其他,Unknown,None
@myuuuli8181,I cannot get over how insanely good this cover is,98,2026-05-22 10:50:46 UTC,1,其他,Unknown,None
@y__n714,김태래보면서 메보의 중요성을 느낌 .....,47,2026-05-21 23:34:00 UTC,1,Vocal/高音与唱功,Unknown,金泰来
@chxao,진짜 내가 본 셜록 커버중에 라이브도 그렇고 그냥 탑임,45,2026-05-24 04:35:04 UTC,1,Vocal/高音与唱功,Unknown,None
@wodkvidnhw,아니 라이브 왜케 잘함…? 그것도 셜록을..,37,2026-05-22 02:25:22 UTC,1,Vocal/高音与唱功,Unknown,None
@tldbs-c9e,제베원 독기 미쳤다 너무 잘해,52,2026-05-21 03:03:48 UTC,1,Dance/走位与舞蹈力度,Unknown,None
@yuri0819-y2q,셜록을 라이브로 말아주는 게 ㄹㅇ 독기미침,23,2026-05-29 19:47:02 UTC,1,Vocal/高音与唱功,Unknown,None
@user-mu1kk4,부족함이 없어 멤버모두 올라운더를 능력으로 증명,30,2026-05-22 22:58:28 UTC,1,Vocal/高音与唱功,Unknown,None
@시나-c3k,진짜 5명이 너무 자랑스럽다..,31,2026-05-23 00:22:43 UTC,1,其他,Zerose,None
@NenengResita-hv2lb,"from rover to sherlock, kim jiwoong always being legend in performing any songs",38,2026-05-21 04:21:56 UTC,1,Visual/妆造与表情管理,Unknown,金地雄
@2001.o_o,wow this is one of the most solid covers done by male group. Shinee is vocal powerhouse but this one didn't feel empty at all. 100% energy and vocal is on point,82,2026-05-21 12:09:04 UTC,1,Original/致敬前辈与原唱,Casual,None
@pppp_pppp4,진심 레전드 커버..,93,2026-05-21 04:05:00 UTC,1,其他,Unknown,None
@lariskei,셜록커버 ㄹㅈㄷ,32,2026-05-21 01:33:50 UTC,1,其他,Unknown,None
@tldbs-c9e,셜록 라이브로 커버한거 다시봐도 ㄹㅈㄷ,50,2026-05-21 03:03:02 UTC,1,其他,Unknown,None
@na-ming_,"와 화질 미쳤다 케이콘 감사합니다‼️‼️
다섯 멋쟁이들 사랑해🔝💙",44,2026-05-21 01:33:35 UTC,1,其他,Zerose,None
